CustomerID,Gender,Age,Region,ProductCategory,PurchaseAmount,LoyaltyLevel,PaymentMethod,Returned,SatisfactionScore,Extra_0,Extra_1
CUST1000,Male,24,West,Sports,712.09,Gold,Online,0,8,1.7760872803800642,0.8262494226728235
CUST1001,Female,42,East,Clothing,935.67,Platinum,Online,0,2,-0.46077501373165286,0.08595738801721546
CUST1002,Male,62,East,Home,707.27,Gold,Cash,0,5,-0.7695623811651242,-0.5871541590312039
CUST1003,Male,21,North,Electronics,673.96,Gold,Card,1,9,0.5473026747769738,-0.5321724562434457
CUST1004,Male,53,Central,Home,714.06,Platinum,Card,0,8,1.3640819374650175,0.38547307045695217
CUST1005,Female,23,North,Sports,888.35,Bronze,Online,0,2,-1.3788033045852264,0.41298056552504697
CUST1006,Male,48,South,Home,807.83,Bronze,Cash,1,9,-0.19699064821431514,-0.2929546157635447
CUST1007,Male,36,North,Home,1281.93,Platinum,Cash,1,5,-0.6107819450858708,-2.6191522050533393
CUST1008,Male,61,North,Home,79.0,Platinum,Card,0,10,0.14285101299207983,-1.2905227272912905
CUST1009,Female,56,West,Sports,1250.81,Platinum,Card,0,6,0.010017923499404696,0.6196889216121123
CUST1010,Male,44,East,Beauty,1266.67,Gold,Card,1,3,1.345381247627721,-2.1308379973558758
CUST1011,Male,27,Central,Home,430.94,Platinum,Cash,0,3,-0.10840479287478322,1.1841810163672148
CUST1012,Male,43,North,Clothing,696.96,Silver,Card,1,10,1.3747840989702291,1.036157261138504
CUST1013,Male,36,Central,Sports,660.62,Gold,Card,0,8,-0.31510033601868576,0.04109638193320572
CUST1014,Female,56,North,Home,331.67,Bronze,Online,0,10,0.9264818751052164,0.5979310342286077
CUST1015,Male,20,South,Beauty,598.21,Bronze,Card,0,10,0.22866302813671915,0.5287746783588859
CUST1016,Female,62,North,Sports,71.36,Bronze,Card,0,2,1.7298853986834446,-0.11687312836621294
CUST1017,Female,30,West,Groceries,420.34,Gold,Cash,0,2,-1.4770148628144282,-1.37388911758857
CUST1018,Female,67,East,Beauty,1225.94,Silver,Cash,0,5,-1.1638577177598246,0.9672729750616863
CUST1019,Male,45,South,Clothing,430.42,Platinum,Online,0,6,1.8316222846583865,1.407230011383635
CUST1020,Female,37,North,Home,1228.22,Platinum,Card,0,2,-0.7332650934863538,-1.208590524242342
CUST1021,Male,45,Central,Groceries,799.74,Bronze,Online,0,5,-0.6698033580758616,-1.4112550051696995
CUST1022,Female,25,South,Groceries,1320.39,Bronze,Cash,0,7,-0.8757235854998543,-0.13679690475734085
CUST1023,Female,58,South,Sports,864.3,Gold,Online,0,10,1.1484459565337237,-0.6262245956364498
CUST1024,Female,56,North,Groceries,49.35,Silver,Cash,0,10,-1.2534576132251245,0.14494924020545913
CUST1025,Female,18,South,Clothing,1014.75,Platinum,Online,0,8,0.02245041227766096,1.2079940398603866
CUST1026,Female,20,Central,Clothing,72.06,Gold,Online,0,7,-0.2656218217805378,-2.2456704382724957
CUST1027,Female,30,South,Electronics,678.64,Platinum,Card,0,8,1.0365155835044346,1.5812719516191547
CUST1028,Female,45,Central,Clothing,1394.49,Bronze,Online,0,9,-0.5636826623316449,-0.40666844187691986
CUST1029,Female,66,North,Beauty,251.98,Platinum,Card,1,5,0.4152725791132739,0.5117789786504942
CUST1030,Male,42,East,Groceries,587.86,Silver,Card,0,5,-1.1712161733772697,0.6187258381044658
CUST1031,Male,50,South,Clothing,1096.14,Silver,Card,0,10,2.2739410386772008,0.7353411541977961
CUST1032,Female,55,East,Sports,1323.98,Bronze,Card,1,4,-0.23959232465370883,0.061908104029996795
CUST1033,Female,23,Central,Electronics,1008.06,Silver,Online,0,9,0.008763484885367153,0.29556060178674576
CUST1034,Female,61,South,Groceries,390.97,Silver,Cash,0,5,1.654754358850542,0.2890220506054031
CUST1035,Male,62,West,Electronics,1013.54,Gold,Cash,0,2,-0.5866727743052094,-0.6302828007794473
CUST1036,Female,49,East,Groceries,448.61,Platinum,Cash,0,10,1.6673823429386165,-1.7580551914371976
CUST1037,Male,62,South,Sports,1079.05,Bronze,Online,0,8,-0.41147117413796075,-1.2191858277651948
CUST1038,Male,64,East,Electronics,1431.28,Bronze,Card,0,7,0.6716981838212592,-0.10423797949803458
CUST1039,Male,38,South,Home,1083.48,Bronze,Cash,0,8,-0.5726816401592988,-0.786806656896385
CUST1040,Male,33,North,Beauty,1295.01,Bronze,Online,0,3,-1.3560364451447344,-0.784496072389535
CUST1041,Male,38,East,Beauty,8.15,Bronze,Card,0,4,0.4145943505406158,1.7992510456861954
CUST1042,Female,28,West,Groceries,1077.77,Silver,Cash,0,5,0.6399034009835328,0.8588947966598731
CUST1043,Female,54,West,Home,1245.23,Gold,Card,0,6,-1.3158857423262387,-0.2520759659099735
CUST1044,Female,53,Central,Electronics,65.64,Bronze,Cash,0,1,-0.30705831890871205,0.672034945655442
CUST1045,Female,52,South,Home,1308.04,Gold,Cash,0,4,1.2007589615369068,-0.42026860559090073
CUST1046,Female,36,East,Home,388.76,Gold,Cash,0,10,0.6001189507966102,0.11072343418649651
CUST1047,Male,37,Central,Electronics,999.61,Silver,Card,0,5,-0.3952150017840508,0.44162864841891597
CUST1048,Female,35,East,Sports,1201.53,Bronze,Online,0,7,-0.5975257016344556,-0.41760596777187864
CUST1049,Female,64,South,Home,995.68,Silver,Card,0,5,1.9482443251347765,-0.6852505475370957
CUST1050,Male,58,West,Home,142.97,Bronze,Cash,0,1,-1.446932069802858,1.223931818468504
CUST1051,Female,66,North,Sports,896.5,Silver,Card,0,7,-0.05919857440860258,0.6141129671981066
CUST1052,Male,31,West,Home,826.63,Gold,Online,0,8,-1.4646968736939443,-2.2546108782927172
CUST1053,Female,32,Central,Home,1350.98,Bronze,Card,0,7,1.3148146448442812,-0.6681359300316102
CUST1054,Male,48,North,Home,609.34,Platinum,Online,0,4,-0.007123612208336721,-0.7812724996943938
CUST1055,Female,18,Central,Beauty,485.02,Gold,Online,0,8,0.1781740847694348,-0.6211380888123978
CUST1056,Female,20,South,Clothing,1126.03,Platinum,Card,0,5,2.768892309627609,0.8624022887588952
CUST1057,Male,33,North,Sports,621.95,Gold,Cash,0,10,-0.5934726757363933,0.019205968003691544
CUST1058,Male,40,Central,Home,970.91,Silver,Online,0,9,1.7485759140585337,-1.3896296708555456
CUST1059,Male,28,South,Beauty,971.44,Bronze,Card,0,10,-0.3907319144081885,-0.3832148369586158
CUST1060,Male,29,West,Sports,1332.62,Gold,Online,0,5,-0.23351245758489844,0.5417376476161898
CUST1061,Male,27,South,Groceries,900.05,Silver,Cash,0,1,2.6381752566205994,-0.21964501553375435
CUST1062,Male,49,East,Groceries,755.72,Bronze,Card,0,9,-0.1610903772616734,-0.6446759511634914
CUST1063,Male,33,South,Home,212.61,Bronze,Card,0,5,-1.374371404295248,0.33121927873852836
CUST1064,Male,25,South,Beauty,178.03,Gold,Card,0,6,0.28191878812631216,1.6181924894390771
CUST1065,Female,55,East,Beauty,235.71,Bronze,Cash,0,4,-0.1727368251670042,0.4614248329585187
CUST1066,Female,29,Central,Sports,261.91,Gold,Online,0,6,0.36709584173386034,1.3009415130316988
CUST1067,Male,41,Central,Sports,958.63,Bronze,Card,0,8,-0.13359779332776944,-0.5776142178649032
CUST1068,Female,45,South,Beauty,1112.77,Platinum,Online,0,3,2.2155446162047645,-0.008362111124060725
CUST1069,Female,25,East,Sports,797.34,Silver,Online,0,5,0.5567358388359357,-0.028551984535682258
CUST1070,Female,45,East,Beauty,1244.38,Platinum,Cash,0,2,-1.074964627725818,0.11867908406769122
CUST1071,Female,53,West,Clothing,1486.94,Gold,Card,0,2,0.12454680202385442,0.44051960638091603
CUST1072,Male,43,Central,Beauty,1230.92,Platinum,Online,0,7,-0.7996298241670389,-0.9189691210547781
CUST1073,Female,25,North,Groceries,1043.85,Gold,Card,0,10,-0.2477138425029538,0.6473326855134786
CUST1074,Male,67,Central,Sports,801.08,Bronze,Card,0,10,-0.9104407105668227,-1.6278859389552167
CUST1075,Female,45,Central,Beauty,676.04,Bronze,Cash,0,10,2.1071185232060228,-1.3357566625066817
CUST1076,Female,45,West,Beauty,131.17,Gold,Card,0,6,-0.6913846151782217,2.1356261011732305
CUST1077,Female,54,North,Sports,602.06,Platinum,Card,0,4,0.6875643519941369,-0.510120739478876
CUST1078,Male,58,West,Clothing,1365.65,Bronze,Online,1,5,-0.3234794218766272,0.7295193509862021
CUST1079,Female,53,North,Clothing,1212.99,Silver,Cash,0,1,-1.1584131725727902,1.6982903924269561
CUST1080,Male,44,South,Sports,328.0,Bronze,Card,0,7,0.1976493028995068,-2.314456078778476
CUST1081,Female,34,North,Electronics,702.58,Silver,Online,0,8,0.4006918370857067,1.1262461801557098
CUST1082,Male,26,West,Sports,1226.0,Platinum,Cash,0,9,0.5586265327545139,0.648943606259271
CUST1083,Female,50,Central,Sports,105.74,Silver,Cash,0,8,-2.6222191545409426,1.6403972809330398
CUST1084,Male,37,North,Clothing,584.15,Silver,Online,1,5,-1.2348457136690911,-1.1815231616646271
CUST1085,Male,30,North,Clothing,1278.5,Silver,Online,0,3,0.9575547190218846,1.4512546569546128
CUST1086,Female,45,East,Sports,608.83,Silver,Online,0,10,-0.9236069626087919,-0.7394144316026904
CUST1087,Male,65,Central,Sports,121.03,Bronze,Online,0,9,0.20294405031011112,1.0547778142766568
CUST1088,Female,46,South,Sports,816.09,Silver,Online,0,6,-1.2580246952287855,-0.03602103575443992
CUST1089,Female,30,West,Clothing,1293.31,Bronze,Card,0,5,0.7316011021584401,0.7707688064351387
CUST1090,Female,63,South,Sports,887.48,Silver,Card,0,3,0.9312695959955741,0.04886918330515309
CUST1091,Female,52,Central,Sports,343.29,Gold,Cash,1,6,0.7319099061723667,-1.839401584186729
CUST1092,Female,23,North,Home,579.44,Platinum,Card,0,3,1.0325568123535973,-3.120544022943797
CUST1093,Female,35,North,Electronics,677.93,Silver,Card,0,10,1.5639001448995327,0.20991553398349078
CUST1094,Female,68,Central,Groceries,871.0,Gold,Card,0,6,-1.1740741316089747,-0.2637350376313479
CUST1095,Female,22,North,Electronics,1140.23,Silver,Online,0,4,-0.7886719311513626,0.3982209514202937
CUST1096,Female,64,North,Home,152.82,Silver,Cash,0,2,0.8975435703037948,-0.2521534658435748
CUST1097,Female,42,North,Groceries,1335.03,Silver,Cash,0,8,1.1302197718374811,2.0180773827178204
CUST1098,Female,19,West,Sports,23.4,Gold,Cash,0,4,-0.6743429535719255,0.23053712782830446
CUST1099,Male,27,West,Home,558.23,Platinum,Cash,0,9,-0.7438860653255841,-0.44694772758266543
CUST1100,Male,47,East,Sports,45.99,Gold,Card,0,7,-0.6522134899305057,0.3373630663468662
CUST1101,Female,67,South,Clothing,592.5,Platinum,Card,0,2,-1.605094964043946,-0.42867479688130566
CUST1102,Female,62,Central,Beauty,791.09,Silver,Online,0,4,-1.2714111821740754,0.09293023411398735
CUST1103,Female,22,Central,Home,769.96,Bronze,Cash,0,5,-1.2472926450301534,-1.2174801872358345
CUST1104,Female,50,Central,Clothing,252.61,Silver,Card,0,3,-0.29409847380563336,-0.008585201859605372
